gender_exclusive,gender_inclusive,difficulty,origin
Tenemos que solventar los problemas que tiene el promotor incorporando personal cualificado con un perfil diferente para compensar los fallos,Tenemos que solventar los problemas que tiene el equipo promotor incorporando personal cualificado con un perfil diferente para compensar los fallos,plural_complejo,neutral_es
La exposición de arte contó con unos cien asistentes que admiraban las obras expuestas.,La exposición de arte contó con cerca de cien asistentes que admiraban las obras expuestas.,persona_generica,GPT-3.5_fewshot
"Bienvenidos a la sección de prensa de ARGENPLAS , una excelente fuente de información para todos los representantes de prensa","Bienvenida y bienvenido a la sección de prensa de ARGENPLAS , una excelente fuente de información para todos los representantes de prensa",dificultades_variadas,neutral_es
Los académicos se dedican a la investigación.,La academia se dedica a la investigación.,plurales,GPT-3.5_CaDi
Los franceses son famosos por su cocina refinada y exquisita.,La población francesa es famosa por su cocina refinada y exquisita.,culturas,GPT-3.5_fewshot
Las costumbres y tradiciones de los gallegos están muy relacionadas con el mar,Las costumbres y tradiciones gallegas están muy relacionadas con el mar,culturas,human
Alejandra está trabajando de policía,Alejandra está trabajando de policía,feminizar_profesiones,human_combinatory
Las artes culinarias y la gastronomía de los franceses son reconocidas internacionalmente,Las artes culinarias y la gastronomía francesas son reconocidas internacionalmente,culturas,GPT-3.5_fewshot
"La de Valencia organizada por los directores del Campeonato de Europa de Atletismo , se celebrará el 25 de julio","La de Valencia organizada por el equipo directivo del Campeonato de Europa de Atletismo , se celebrará el 25 de julio",dificultades_variadas,neutral_es
Los accionistas tienen participación en la empresa.,El accionariado tiene participación en la empresa.,plurales,GPT-3.5_CaDi
Los dignatarios asistieron a la ceremonia de inauguración.,Dignatarias y dignatarios asistieron a la ceremonia de inauguración.,plurales,GPT-3.5_CaDi
Los productores filmaron la película en locaciones exóticas.,La producción filmó la película en locaciones exóticas.,plurales,GPT-3.5_CaDi
Se informa a los estudiantes sobre la fecha límite de inscripción.,Se informa sobre la fecha límite de inscripción.,omision,GPT-3.5_fewshot
La normativa se dirigía a los voluntarios y les explicaba los detalles del proceso,La normativa se dirigía al voluntariado y les explicaba los detalles del proceso,dificultades_variadas,neutral_es
Todos los titulados deberán salir primero,Las personas con titulación deberán salir primero,dificultades_variadas,neutral_es
La empresa necesita un contable para manejar las finanzas.,La empresa necesita contable para manejar las finanzas.,plural_complejo,GPT-3.5_fewshot
Cada ponente del congreso recibirá una carpeta con materiales,Cada ponente del congreso recibirá una carpeta con materiales,no_cambia,neutral_es
"Desde la primera vez que pisó una obra,  mi madre es una psicólogo malísima","Desde la primera vez que pisó una obra,  mi madre es una psicóloga malísima",feminizar_profesiones,human_combinatory
Cuando son niños necesitan más cuidados,En su niñez necesitan más cuidados,dificultades_variadas,neutral_es
Es importante solventar los problemas que tiene el promotor añadiendo personal con un perfil diferente para compensar los errores pasados,Es importante solventar los problemas que tiene el personal promotor añadiendo personal con un perfil diferente para compensar los errores pasados,plural_complejo,neutral_es
Dichos pacientes serán atendidos por el médico de guardia.,Tales pacientes serán atendidos por el médico de guardia.,persona_generica,GPT-3.5_fewshot
Los escritores están finalizando su próximo libro.,Las escritoras y los escritores están finalizando su próximo libro.,plural_complejo,GPT-3.5_fs_multiplication
Curso de idioma dirigidos a aquellos que quieran perfeccionar su segunda lengua,Curso de idioma dirigidos a quienes quieran perfeccionar su segunda lengua,dificultades_variadas,neutral_es
Podrán ser candidatos todos los estudiantes que cumplan con los requisitos académicos.,Podrán presentar su candidatura todo estudiante que cumpla con los requisitos académicos.,parafrasis,GPT-3.5_fs_multiplication
"Según muchos especialistas, la situación económica mejorará pronto.","Según multitud de especialistas, la situación económica mejorará pronto.",parafrasis,GPT-3.5_fs_multiplication
Terminé rápido así que pude revisar algunos documentos pendientes,Terminé rápido así que pude revisar bastantes documentos pendientes,dificultades_variadas,neutral_es
Los musulmanes enfrentan estereotipos y prejuicios en la sociedad.,Las personas musulmanas enfrentan estereotipos y prejuicios en la sociedad.,terminologia,GPT-3.5_fewshot
Los docentes Alejandro y Manuel impartirán la asignatura de Ciencias de la Tierra.,Los docentes Alejandro y Manuel impartirán la asignatura de Ciencias de la Tierra.,no_cambia,neutral_es
las abajo firmantes muestran su conformidad con el contrato,quienes firman muestran su conformidad con el contrato,dificultades_variadas,neutral_es
Los lugareños conocen los mejores lugares para comer en la ciudad.,Las personas del lugar conocen los mejores sitios para comer en la ciudad.,plural_complejo,GPT-3.5_fs_multiplication
En su puesto de trabajo  la cuñada de mi abuela era administrador y dijo que quería ser chef y practica la meditación y la atención plena para encontrar calma interior.,En su puesto de trabajo  la cuñada de mi abuela era administradora y dijo que quería ser chef y practica la meditación y la atención plena para encontrar calma interior.,feminizar_profesiones,human_combinatory
"Con gran vocación, la amiga de Natalia era muy buena médico","Con gran vocación, la amiga de Natalia era muy buena médica",feminizar_profesiones,human_combinatory
Los periodistas del periódico local investigarán el caso a fondo.,Periodistas del periódico local investigarán el caso a fondo.,omision,GPT-3.5_fewshot
"el funcionariado interino que haya trabajado entre el 8 de julio y el 7 de enero ,","el funcionariado interino que haya trabajado entre el 8 de julio y el 7 de enero ,",no_cambia,neutral_es
Los biólogos están estudiando la flora y fauna en el bosque.,Los biólogos y biólogas están estudiando la flora y fauna en el bosque.,plural_complejo,GPT-3.5_fs_multiplication
Nueve de cada diez ciudadanos respiran aire contaminado.,Nueve de cada diez personas respiran aire contaminado.,persona_generica,guia_CHRYSALLIS
los firmantes están de acuerdo con el contrato,quienes firman están de acuerdo con el contrato,dificultades_variadas,neutral_es
La gastronomía y los sabores de los tailandeses son una delicia para los sentidos,La gastronomía y los sabores tailandeses son una delicia para los sentidos,culturas,GPT-3.5_fewshot
Es necesario que el usuario tenga en cuenta...,Es necesario tener en cuenta...,omision,guia_CHRYSALLIS
Los periodistas investigaron el escándalo político.,Periodistas investigaron el escándalo político.,plurales,GPT-3.5_fs_multiplication
Los indígenas tendrán créditos,La población indígena tendrá créditos,culturas,guia_MX
En la oficina  la hermana de Ismael era dentista,En la oficina  la hermana de Ismael era dentista,feminizar_profesiones,human_combinatory
Habla con tu médico de cabecera para averiguar si necesitas que se cambie tu dosis de insulina o de los demás medicamentos que consumes de manera habitual,Habla con tu médico de cabecera para averiguar si necesitas que se cambie tu dosis de insulina o del resto medicamentos que consumes de manera habitual,dificultades_variadas,neutral_es
Las formadoras Valeria y Manuela impartirán el temario de Lengua Castellana.,Las formadoras Valeria y Manuela impartirán el temario de Lengua Castellana.,no_cambia,neutral_es
La desempleada buscaba activamente trabajo para sustentar a su familia.,La mujer que estaba desempleada buscaba activamente trabajo para sustentar a su familia.,terminologia,GPT-3.5_fs_multiplication
No es exagerado decir que carga con una larga historia de desprestigio entre los electores y la prensa nacional,No es exagerado decir que carga con una larga historia de desprestigio entre el electorado y la prensa nacional,dificultades_variadas,neutral_es
Los abogados asesoran a sus clientes en asuntos legales.,La abogacía asesora a sus clientes en asuntos legales.,plural_complejo,GPT-3.5_fs_multiplication
Los portavoces adjuntos expresaron su preocupación por el aumento del desempleo.,La portavocía adjunta expresó su preocupación por el aumento del desempleo.,plurales,GPT-3.5_fewshot
¿Cómo podemos esperar que la situación mejore si los encargados de maximizar los beneficios apenas tienen en cuenta este aspecto?,¿Cómo podemos esperar que la situación mejore si el personal encargado de maximizar los beneficios apenas tiene en cuenta este aspecto?,dificultades_variadas,neutral_es
Aún no existe información suficiente de por qué algunas tienen reacciones alérgicas,Aún no existe información suficiente de por qué ciertas personas tienen reacciones alérgicas,dificultades_variadas,neutral_es
"Mientras tanto , el espectador Alberto se levantó de su butaca y se marchó del teatro","Mientras tanto , el espectador Alberto se levantó de su butaca y se marchó del teatro",no_cambia,neutral_es
Los discapacitados tienen dificultades para acceder a ciertos lugares.,Las personas con discapacidad tienen dificultades para acceder a ciertos lugares.,terminologia,GPT-3.5_fewshot
"Sin embargo , la información exacta sobre lo que se le paga a una persona representante individual no debe revelarse sin autorización de la interesada","Sin embargo , la información exacta sobre lo que se le paga a una persona representante individual no debe revelarse sin autorización de la persona interesada",dificultades_variadas,neutral_es
Las formadoras Valeria y Manuela impartirán el temario de Educación Física.,Las formadoras Valeria y Manuela impartirán el temario de Educación Física.,no_cambia,neutral_es
Los acompañantes brindan apoyo emocional.,Las personas acompañantes brindan apoyo emocional.,plurales,GPT-3.5_CaDi
las jóvenes tienen más aguante,la juventud tienen más aguante,dificultades_variadas,neutral_es
Los acróbatas realizan impresionantes piruetas en el circo.,Las y los acróbatas realizan impresionantes piruetas en el circo.,plurales,GPT-3.5_CaDi
La normativa se dirigía a los voluntarios y les explicaba sus deberes y obligaciones,La normativa se dirigía al voluntariado y les explicaba sus deberes y obligaciones,dificultades_variadas,neutral_es
Uno que desee participar,Alguien que desee participar,persona_generica,guía_CCGG
Los periodistas cubrieron la noticia en vivo desde el lugar del suceso.,La prensa cubrió la noticia en vivo desde el lugar del suceso.,plurales,GPT-3.5_CaDi
Las formadoras Ana y Josefa impartirán la asignatura de Lengua Castellana.,Las formadoras Ana y Josefa impartirán la asignatura de Lengua Castellana.,no_cambia,neutral_es
Con estos cursos se mejorará su capacidad para atender rápidamente a pacientes extranjeros,Con estos cursos se mejorará su capacidad para atender rápidamente a pacientes extranjeros,no_cambia,neutral_es
Los diseñadores crearon una nueva línea de moda para la temporada de primavera.,Se creó una nueva línea de moda para la temporada de primavera.,omision,GPT-3.5_fewshot
Las formadoras Valeria y Manuela impartirán la asignatura de Conocimiento del Medio.,Las formadoras Valeria y Manuela impartirán la asignatura de Conocimiento del Medio.,no_cambia,neutral_es
Los miembros de la Junta de Personal propondrán soluciones,Se propondrán soluciones por la Junta de Personal,omision,guía_CCGG
Los legisladores establecieron,La actual legislación establece,plural_neutro,guia_MX
Los pregoneros anunciaron las noticias en las calles del pueblo.,Quienes pregonan anunciaron las noticias en las calles del pueblo.,plurales,GPT-3.5_CaDi
Anímate hazte socia y forma parte de nuestro reto,Anímate asóciate y forma parte de nuestro reto,dificultades_variadas,neutral_es
Los vecinos compartieron recursos durante la emergencia,El vecindario compartió recursos durante la emergencia,plural_neutro,GPT-3.5_fewshot
Los adolescentes están disfrutando de su tiempo libre en el parque.,La adolescencia disfruta de su tiempo libre en el parque.,plurales,GPT-3.5_fewshot
Los economistas analizan la situación económica del país.,El personal economista analiza la situación económica del país.,plurales,GPT-3.5_CaDi
Las profesoras Ana y Josefa impartirán la asignatura de Lengua Castellana.,Las profesoras Ana y Josefa impartirán la asignatura de Lengua Castellana.,no_cambia,neutral_es
Los empleados del hotel están preparando las habitaciones para la llegada de los huéspedes.,La plantilla del hotel está preparando las habitaciones para la llegada de los huéspedes.,omision,GPT-3.5_fewshot
"Esta importante tarea , en la que participó todo el personal investigador del departamento , ha arrojado varios resultados positivos","Esta importante tarea , en la que participó todo el personal investigador del departamento , ha arrojado varios resultados positivos",no_cambia,neutral_es
Los intermediarios de la negociación se ocuparán también de saber si el local tiene las deudas saldadas,Las personas intermediarias de la negociación se ocuparán también de saber si el local tiene las deudas saldadas,dificultades_variadas,neutral_es
Cine para los adultos,Cine adulto,dificultades_variadas,neutral_es
Habitualmente los partidos funcionan únicamente como vehículo para que alguien pueda hacerse con el poder,Habitualmente los partidos funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder,dificultades_variadas,neutral_es
Estas tazas son el resultado de un gran trabajo por parte de los artesanos,Estas tazas son el resultado de un gran trabajo de artesanía,dificultades_variadas,neutral_es
Realizar el conteo de las participantes,Realizar el conteo de las personas que participan,dificultades_variadas,neutral_es
"Mientras tanto , el espectador se levantó de su butaca y se marchó del teatro","Mientras tanto , el espectador se levantó de su butaca y se marchó del teatro",no_cambia,neutral_es
Los sastres confeccionaron trajes a medida para sus clientes.,El personal de sastrería confeccionó trajes a medida para sus clientes.,plurales,GPT-3.5_CaDi
Los profesores Leo y Daniel impartirán el temario de Ciencias de la Tierra.,Los profesores Leo y Daniel impartirán el temario de Ciencias de la Tierra.,no_cambia,neutral_es
Cada asistente al congreso recibirá un regalo,Cada asistente al congreso recibirá un regalo,no_cambia,neutral_es
"Estos proyectos se desarrollan en todo el espectro de interacciones entre los funcionarios y el público , ya sea en el gobierno , admisión escolar entre otros","Estos proyectos se desarrollan en todo el espectro de interacciones entre el personal funcionario y el público , ya sea en el gobierno , admisión escolar entre otros",dificultades_variadas,neutral_es
Las sirvientas atienden las necesidades del hogar.,Las personas del servicio atienden las necesidades del hogar.,plurales,GPT-3.5_CaDi
"La de Barcelona , organizada por los directores del departamento de finanzas , se celebrará el 25 de julio","La de Barcelona , organizada por el equipo directivo del departamento de finanzas , se celebrará el 25 de julio",dificultades_variadas,neutral_es
Los delincuentes enfrentan sanciones legales por sus actos.,Las personas que cometen delitos enfrentan sanciones legales por sus actos.,terminologia,GPT-3.5_fs_multiplication
Los conductores manejan con cuidado los autobuses.,Quienes conducen manejan con cuidado los autobuses.,plural_complejo,GPT-3.5_fs_multiplication
Los fotógrafos capturan momentos especiales en sus imágenes.,Los fotógrafos y las fotógrafas capturan momentos especiales en sus imágenes.,plural_complejo,GPT-3.5_fewshot
Los profesores Martín y Lucas impartirán la asignatura de Lengua Castellana.,Los profesores Martín y Lucas impartirán la asignatura de Lengua Castellana.,no_cambia,neutral_es
Los diputados y senadores discutieron en el pleno sobre el presupuesto nacional.,Los miembros del Congreso y del Senado discutieron en el pleno sobre el presupuesto nacional.,plurales,GPT-3.5_fewshot
Aún no existe información suficiente de por qué algunas tienen enfermedades crónicas,Aún no existe información suficiente de por qué ciertas personas tienen enfermedades crónicas,dificultades_variadas,neutral_es
Los rectores dirigieron la universidad con visión y liderazgo.,La rectoría dirigió la universidad con visión y liderazgo.,plurales,GPT-3.5_CaDi
Los científicos presentarán sus investigaciones en un simposio internacional,Habrá una presentación de investigaciones en un simposio internacional,omision,GPT-3.5_fewshot
Dichos voluntarios participarán en la limpieza del parque.,Tales voluntarios participarán en la limpieza del parque.,persona_generica,GPT-3.5_fewshot
"Desde que se especializó en su área,  el padre de mi prima Luisa era chef","Desde que se especializó en su área,  el padre de mi prima Luisa era chef",feminizar_profesiones,human_combinatory
El equipo está compuesto por ingenieros altamente capacitados.,El equipo de ingeniería está compuesto por profesionales altamente capacitados.,plural_complejo,GPT-3.5_fs_multiplication
"Aquellos que sepan firmar, que lo hagan al final de la hoja",Quienes sepan firmar que lo hagan al final de la hoja.,omision,guia_MX
Los senderistas exploraron senderos naturales en las montañas.,Las y los practicantes de senderismo exploraron senderos naturales en las montañas.,plurales,GPT-3.5_CaDi
Los eurodiputados representan a sus países en el Parlamento Europeo.,La eurocámara está compuesta por eurodiputadas y eurodiputados que representan a sus países en el Parlamento Europeo.,plurales,GPT-3.5_CaDi
la amiga de Carlos es una chef buenísima y participa en talleres de arte y manualidades para adultos.,la amiga de Carlos es una chef buenísima y participa en talleres de arte y manualidades para adultos.,feminizar_profesiones,human_combinatory
La reforma fue aprobada por los senadores.,La reforma fue aprobada por el Senado.,plural_neutro,GPT-3.5_fs_multiplication
Acudieron al acto la totalidad de los alumnos que había participado en el proyecto,"Acudieron al acto la totalidad de estudiantes , totalidad de alumnos que había participado en el proyecto",dificultades_variadas,neutral_es
Desde la mañana hasta la noche  la amiga de Ana era desarrolladora web sin embargo desde el mes pasado trabaja de cantante,Desde la mañana hasta la noche  la amiga de Ana era desarrolladora web sin embargo desde el mes pasado trabaja de cantante,feminizar_profesiones,human_combinatory
Aún no existen estudios determinantes de por qué ciertas personas tienen reacciones alérgicas,Aún no existen estudios determinantes de por qué ciertas personas tienen reacciones alérgicas,no_cambia,neutral_es
quienes firman acuerdan respetar las condiciones del contrato,quienes firman acuerdan respetar las condiciones del contrato,no_cambia,neutral_es
"Como consecuencia , la cuantía económica estipulada podrá asignarse a los candidatos seleccionados tras acabar la prueba","Como consecuencia , la cuantía económica estipulada podrá asignarse a las candidaturas seleccionadas tras acabar la prueba",dificultades_variadas,neutral_es
El ministro López presentó el plan de salud.,El ministro López presentó el plan de salud.,nombres_propios,GPT-3.5_fewshot
Se han incorporado al centro dos docentes para el nuevo curso. Las profesoras Sonia y Sandra serán las responsables de coordinar el departamento de Química.,Se han incorporado al centro dos docentes para el nuevo curso. Las profesoras Sonia y Sandra serán las responsables de coordinar el departamento de Química.,no_cambia,neutral_es
Los lavacoches limpiaron los vehículos a conciencia.,El servicio de lavacoches limpió los vehículos a conciencia.,plurales,GPT-3.5_CaDi
Los profesores están impartiendo clases en línea debido a la pandemia.,El profesorado está impartiendo clases en línea debido a la pandemia.,plurales,GPT-3.5_fewshot
"Como consecuencia , la cuantía económica estipulada se repartirá a las candidaturas seleccionadas tras acabar la prueba","Como consecuencia , la cuantía económica estipulada se repartirá a las candidaturas seleccionadas tras acabar la prueba",no_cambia,neutral_es
Me gusta que seáis vosotros quienes de vez en cuando me reciten algo,Me gusta que alguien de vez en cuando me recite algo,dificultades_variadas,neutral_es
La vicepresidenta González representó a la compañía en la conferencia internacional.,La vicepresidenta González representó a la compañía en la conferencia internacional.,nombres_propios,GPT-3.5_fewshot
Los motociclistas recorrieron las carreteras montañosas en sus motos.,Las y los motociclistas recorrieron las carreteras montañosas en sus motos.,plurales,GPT-3.5_CaDi
Los cartógrafos elaboran mapas y planos.,Las y los especialistas en cartografía elaboran mapas y planos.,plurales,GPT-3.5_CaDi
Los costarricenses celebran el día de la independencia,La población costarricense celebra el día de la independencia,plural_neutro,GPT-3.5_fewshot
la novia de Roberto es fontanero,la novia de Roberto es fontanera,feminizar_profesiones,human_combinatory
Cada ponente del congreso contará con una carpeta con materiales,Cada ponente del congreso contará con una carpeta con materiales,no_cambia,neutral_es
